treatment,replicate,wavenumber,absorbance
trt1,rep2,1.315214E+03,3.66E-02
trt1,rep2,1.317143E+03,3.65E-02
trt1,rep2,1.319071E+03,3.61E-02
trt1,rep2,1.321000E+03,3.56E-02
trt1,rep2,1.322928E+03,3.53E-02
trt1,rep2,1.324857E+03,3.50E-02
trt1,rep2,1.326785E+03,3.48E-02
trt1,rep2,1.328714E+03,3.47E-02
trt1,rep2,1.330642E+03,3.47E-02
trt1,rep2,1.332571E+03,3.48E-02
trt1,rep2,1.334499E+03,3.50E-02
trt1,rep2,1.336427E+03,3.51E-02
trt1,rep2,1.338356E+03,3.50E-02
trt1,rep2,1.340284E+03,3.44E-02
trt1,rep2,1.342213E+03,3.44E-02
trt1,rep2,1.344141E+03,3.47E-02
trt1,rep2,1.346070E+03,3.50E-02
trt1,rep2,1.347998E+03,3.54E-02
trt1,rep2,1.349927E+03,3.58E-02
trt1,rep2,1.351855E+03,3.63E-02
trt1,rep2,1.353784E+03,3.70E-02
trt1,rep2,1.355712E+03,3.75E-02
trt1,rep2,1.357641E+03,3.82E-02
trt1,rep2,1.359569E+03,3.92E-02
trt1,rep2,1.361498E+03,3.99E-02
trt1,rep2,1.363426E+03,4.01E-02
trt1,rep2,1.365354E+03,4.09E-02
trt1,rep2,1.367283E+03,4.17E-02
trt1,rep2,1.369211E+03,4.19E-02
trt1,rep2,1.371140E+03,4.23E-02
trt1,rep2,1.373068E+03,4.24E-02
trt1,rep2,1.374997E+03,4.15E-02
trt1,rep2,1.376925E+03,4.14E-02
trt1,rep2,1.378854E+03,4.13E-02
trt1,rep2,1.380782E+03,4.10E-02
trt1,rep2,1.382711E+03,4.07E-02
trt1,rep2,1.384639E+03,4.09E-02
trt1,rep2,1.386568E+03,4.06E-02
trt1,rep2,1.388496E+03,3.97E-02
trt1,rep2,1.390425E+03,3.99E-02
trt1,rep2,1.392353E+03,4.05E-02
trt1,rep2,1.394281E+03,4.05E-02
trt1,rep2,1.396210E+03,4.02E-02
trt1,rep2,1.398138E+03,4.04E-02
trt1,rep2,1.400067E+03,4.01E-02
trt1,rep2,1.401995E+03,4.08E-02
trt1,rep2,1.403924E+03,4.12E-02
trt1,rep2,1.405852E+03,4.08E-02
trt1,rep2,1.407781E+03,4.12E-02
trt1,rep2,1.409709E+03,4.16E-02
trt1,rep2,1.411638E+03,4.19E-02
trt1,rep2,1.413566E+03,4.22E-02
trt1,rep2,1.415495E+03,4.28E-02
trt1,rep2,1.417423E+03,4.32E-02
trt1,rep2,1.419352E+03,4.19E-02
trt1,rep2,1.421280E+03,4.20E-02
trt1,rep2,1.423208E+03,4.23E-02
trt1,rep2,1.425137E+03,4.19E-02
trt1,rep2,1.427065E+03,4.22E-02
trt1,rep2,1.428994E+03,4.21E-02
trt1,rep2,1.430922E+03,4.14E-02
trt1,rep2,1.432851E+03,4.14E-02
trt1,rep2,1.434779E+03,4.17E-02
trt1,rep2,1.436708E+03,4.00E-02
trt1,rep2,1.438636E+03,3.89E-02
trt1,rep2,1.440565E+03,3.90E-02
trt1,rep2,1.442493E+03,3.88E-02
trt1,rep2,1.444422E+03,3.88E-02
trt1,rep2,1.446350E+03,3.87E-02
trt1,rep2,1.448279E+03,3.78E-02
trt1,rep2,1.450207E+03,3.75E-02
trt1,rep2,1.452135E+03,3.73E-02
trt1,rep2,1.454064E+03,3.74E-02
trt1,rep2,1.455992E+03,3.70E-02
trt1,rep2,1.457921E+03,3.29E-02
trt1,rep2,1.459849E+03,3.23E-02
trt1,rep2,1.461778E+03,3.28E-02
trt1,rep2,1.463706E+03,3.23E-02
trt1,rep2,1.465635E+03,2.97E-02
trt1,rep2,1.467563E+03,2.83E-02
trt1,rep2,1.469492E+03,2.76E-02
trt1,rep2,1.471420E+03,2.61E-02
trt1,rep2,1.473349E+03,2.25E-02
trt1,rep2,1.475277E+03,2.13E-02
trt1,rep2,1.477206E+03,2.06E-02
trt1,rep2,1.479134E+03,2.05E-02
trt1,rep2,1.481063E+03,2.02E-02
trt1,rep2,1.482991E+03,2.00E-02
trt1,rep2,1.484919E+03,2.05E-02
trt1,rep2,1.486848E+03,2.09E-02
trt1,rep2,1.488776E+03,2.10E-02
trt1,rep2,1.490705E+03,2.07E-02
trt1,rep2,1.492633E+03,2.17E-02
trt1,rep2,1.494562E+03,2.29E-02
trt1,rep2,1.496490E+03,2.35E-02
trt1,rep2,1.498419E+03,2.37E-02
trt1,rep2,1.500347E+03,2.46E-02
trt1,rep2,1.502276E+03,2.59E-02
trt1,rep2,1.504204E+03,2.76E-02
trt1,rep2,1.506133E+03,2.84E-02
trt1,rep2,1.508061E+03,2.73E-02
trt1,rep2,1.509990E+03,2.88E-02
trt1,rep2,1.511918E+03,3.02E-02
trt1,rep2,1.513846E+03,3.13E-02
trt1,rep2,1.515775E+03,3.17E-02
trt1,rep2,1.517703E+03,3.07E-02
trt1,rep2,1.519632E+03,3.13E-02
trt1,rep2,1.521560E+03,3.01E-02
trt1,rep2,1.523489E+03,2.99E-02
trt1,rep2,1.525417E+03,3.03E-02
trt1,rep2,1.527346E+03,3.05E-02
trt1,rep2,1.529274E+03,3.13E-02
trt1,rep2,1.531203E+03,3.27E-02
trt1,rep2,1.533131E+03,3.32E-02
trt1,rep2,1.535060E+03,3.38E-02
trt1,rep2,1.536988E+03,3.57E-02
trt1,rep2,1.538917E+03,3.74E-02
