treatment,replicate,wavenumber,absorbance
trt1,rep1,1.477268E+03,3.60E-02
trt1,rep1,1.479196E+03,3.56E-02
trt1,rep1,1.481125E+03,3.52E-02
trt1,rep1,1.483054E+03,3.49E-02
trt1,rep1,1.484982E+03,3.50E-02
trt1,rep1,1.486911E+03,3.51E-02
trt1,rep1,1.488839E+03,3.51E-02
trt1,rep1,1.490768E+03,3.52E-02
trt1,rep1,1.492696E+03,3.57E-02
trt1,rep1,1.494625E+03,3.63E-02
trt1,rep1,1.496553E+03,3.67E-02
trt1,rep1,1.498482E+03,3.71E-02
trt1,rep1,1.500411E+03,3.77E-02
trt1,rep1,1.502339E+03,3.84E-02
trt1,rep1,1.504268E+03,3.91E-02
trt1,rep1,1.506196E+03,3.93E-02
trt1,rep1,1.508125E+03,4.01E-02
trt1,rep1,1.510053E+03,4.11E-02
trt1,rep1,1.511982E+03,4.18E-02
trt1,rep1,1.513910E+03,4.23E-02
trt1,rep1,1.515839E+03,4.24E-02
trt1,rep1,1.517767E+03,4.20E-02
trt1,rep1,1.519696E+03,4.21E-02
trt1,rep1,1.521625E+03,4.13E-02
trt1,rep1,1.523553E+03,4.15E-02
trt1,rep1,1.525482E+03,4.19E-02
trt1,rep1,1.527410E+03,4.23E-02
trt1,rep1,1.529339E+03,4.29E-02
trt1,rep1,1.531267E+03,4.37E-02
trt1,rep1,1.533196E+03,4.41E-02
trt1,rep1,1.535124E+03,4.52E-02
trt1,rep1,1.537053E+03,4.63E-02
trt1,rep1,1.538981E+03,4.68E-02
trt1,rep1,1.540910E+03,4.68E-02
trt1,rep1,1.542839E+03,4.81E-02
trt1,rep1,1.544767E+03,4.94E-02
trt1,rep1,1.546696E+03,5.07E-02
trt1,rep1,1.548624E+03,5.16E-02
trt1,rep1,1.trt2553E+03,5.25E-02
trt1,rep1,1.552481E+03,5.33E-02
trt1,rep1,1.554410E+03,5.41E-02
trt1,rep1,1.556338E+03,5.50E-02
trt1,rep1,1.558267E+03,5.55E-02
